Date/Time,OAT,OCCU,Solar,Lux,IAT,C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,DAT,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 06/01  03:30:00,18.498375,0,0,0,20.80260218,190.7324698,420.0040078,12.80011052,100001.687,1.52E-02,420.0038376
 06/01  03:35:00,18.53170833,0,0,0,20.79654905,189.9470678,420.003673,12.80011288,100001.9931,1.52E-02,420.003517
 06/01  03:40:00,18.56504167,0,0,0,20.79889102,192.7397408,420.0033662,12.800115,100002.2993,1.52E-02,420.0032232
 06/01  03:45:00,18.598375,0,0,0,20.80318268,190.9516925,420.003085,12.80012052,100002.6055,1.52E-02,420.0029539
 06/01  03:50:00,18.63170833,0,0,0,20.80467157,189.3910031,420.0028274,12.800123,100002.9116,1.52E-02,420.0027072
 06/01  03:55:00,18.66504167,0,0,0,20.80320448,188.4005408,420.0025912,12.80012325,100003.2178,1.52E-02,420.0024811
 06/01  04:00:00,18.698375,0,0,0,20.80044587,187.7213873,420.0023749,12.80012331,100003.5239,1.52E-02,420.0022739
 06/01  04:05:00,18.70670833,0,0,0,20.79659241,187.1062001,420.0021766,12.80012412,100003.626,1.52E-02,420.002084
 06/01  04:10:00,18.71504167,0,0,0,20.79192731,186.6450467,420.0019949,12.80012533,100003.7281,1.52E-02,420.00191
 06/01  04:15:00,18.723375,0,0,0,20.78685526,186.2727192,420.0018283,12.80012685,100003.8301,1.52E-02,420.0017506
 06/01  04:20:00,18.73170833,0,0,0,20.78165653,185.9251911,420.0016757,12.80012847,100003.9322,1.52E-02,420.0016044
 06/01  04:25:00,18.74004167,0,1572.686911,1.842112283,20.77719378,185.9080371,420.0015358,12.80013005,100004.0342,1.52E-02,420.0014705
 06/01  04:30:00,18.748375,0,1711.585191,2.352997072,20.77333374,185.6604688,420.0014076,12.80013185,100004.1363,1.52E-02,420.0013477
 06/01  04:35:00,18.75670833,0,2576.859357,4.240919111,20.76986672,185.4401415,420.0012901,12.80013344,100004.2383,1.52E-02,420.0012352
 06/01  04:40:00,18.76504167,0,3443.435562,6.56509524,20.76677533,185.27037,420.0011824,12.80013481,100004.3404,1.52E-02,420.0011321
 06/01  04:45:00,18.773375,0,4310.601022,9.316191798,20.76408663,185.1154339,420.0010837,12.80013607,100004.4424,1.52E-02,420.0010376
 06/01  04:50:00,18.78170833,0,5178.22859,12.49104886,20.76180529,184.9692268,420.0009933,12.80013726,100004.5445,1.52E-02,420.000951
 06/01  04:55:00,18.79004167,0,6046.359017,16.08903996,20.75991638,184.8322933,420.0009104,12.80013837,100004.6466,1.52E-02,420.0008716
 06/01  05:00:00,18.798375,0,6915.07206,20.11066184,20.7584033,184.7067299,420.0008344,12.8001394,100004.7486,1.52E-02,420.0007989
 06/01  05:05:00,18.81504167,0,7784.448156,22.82560173,20.75769907,184.6341618,420.0007648,12.80013944,100004.9527,1.52E-02,420.0007322
 06/01  05:10:00,18.83170833,0,8654.558455,25.57766051,20.7578104,184.4830528,420.0007009,12.80014008,100005.1568,1.52E-02,420.0006711
 06/01  05:15:00,18.848375,0,9594.398445,28.36801628,20.75857976,184.3231831,420.0006424,12.80014043,100005.3609,1.52E-02,420.0006151
 06/01  05:20:00,18.86504167,0,10545.14103,31.19777015,20.7598469,184.1583242,420.0005888,12.80014066,100005.565,1.52E-02,420.0005638
 06/01  05:25:00,18.88170833,0,11490.35169,34.06795854,20.76158048,184.0276453,420.0005397,12.80014086,100005.7692,1.52E-02,420.0005167
 06/01  05:30:00,18.898375,0,12432.52801,36.97956888,20.76379401,183.9165658,420.0004947,12.80014111,100005.9733,1.52E-02,420.0004736
 06/01  05:35:00,18.91504167,0,14144.51719,41.48792111,20.76684208,183.9726709,420.0004534,12.80014142,100006.1774,1.52E-02,420.0004341
 06/01  05:40:00,18.93170833,0,15823.85822,46.08993821,20.77095465,184.070997,420.0004156,12.80014194,100006.3815,1.52E-02,420.0003979
 06/01  05:45:00,18.948375,0,17473.63824,50.78499582,20.77612767,184.1742797,420.0003809,12.80014259,100006.5856,1.52E-02,420.0003647
 06/01  05:50:00,18.96504167,0,19096.89382,55.57295982,20.78220215,184.2651331,420.0003491,12.80014326,100006.7897,1.52E-02,420.0003343
 06/01  05:55:00,18.98170833,0,20696.43291,60.45405496,20.78901762,184.3594629,420.00032,12.80014387,100006.9938,1.52E-02,420.0003064
 06/01  06:00:00,18.998375,0,22457.28294,65.42877488,20.7965759,184.511375,420.0002933,12.80014442,100007.1979,1.52E-02,420.0002808
 06/01  06:05:00,19.03170833,0,24000.59782,70.24690462,20.80555967,184.669256,420.0002689,12.80015095,100007.1979,1.52E-02,420.0002574
 06/01  06:10:00,19.06504167,0,25528.50179,75.12192457,20.81597233,184.7075885,420.0002464,12.80015336,100007.1979,1.52E-02,420.0002359
 06/01  06:15:00,19.098375,0,27042.45301,80.05424759,20.82745292,184.6895054,420.0002259,12.80015657,100007.1979,1.52E-02,420.0002163
 06/01  06:20:00,19.13170833,0,28543.69099,85.0443896,20.83969875,184.670482,420.0002071,12.80015962,100007.1979,1.52E-02,420.0001982
 06/01  06:25:00,19.16504167,0,30033.26477,90.09294897,20.85258503,184.6757832,420.0001898,12.80016221,100007.1979,1.52E-02,420.0001817
 06/01  06:30:00,19.198375,0,31512.05811,95.20059114,20.86609709,184.7079235,420.000174,12.80016438,100007.1979,1.52E-02,420.0001665
 06/01  06:35:00,19.23170833,0,33256.58109,101.1239374,20.8803885,184.8248369,420.0001595,12.80016625,100007.1979,1.52E-02,420.0001527
 06/01  06:40:00,19.26504167,0,34985.34926,107.1227918,20.89554639,184.9683642,420.0001462,12.80016794,100007.1979,1.52E-02,420.0001399
 06/01  06:45:00,19.298375,0,36699.10906,113.1976627,20.91154012,185.1194184,420.000134,12.80016947,100007.1979,1.52E-02,420.0001283
 06/01  06:50:00,19.33170833,0,38398.52002,119.3491572,20.92829396,185.282321,420.0001228,12.80017081,100007.1979,1.52E-02,420.0001176
 06/01  06:55:00,19.36504167,0,40084.15736,125.5779652,20.94574566,185.4631063,420.0001126,12.80017195,100007.1979,1.52E-02,420.0001078
 06/01  07:00:00,19.398375,0,41756.51595,131.8848468,20.96385898,185.6641198,420.0001032,12.80017293,100007.1979,1.52E-02,420.0000988
 06/01  07:05:00,19.448375,0,43416.01499,137.4270463,20.98299207,185.744195,420.0000946,12.80018301,100007.3,1.52E-02,420.0000906
 06/01  07:10:00,19.498375,0,45063.00295,142.9706524,21.00315739,185.7733764,420.0000867,12.80018636,100007.402,1.52E-02,420.000083
 06/01  07:15:00,19.548375,0,46697.76244,148.5157746,21.02413806,185.7682309,420.0000795,12.8001909,100007.5041,1.52E-02,420.0000761
 06/01  07:20:00,19.598375,0,48320.51493,154.0625386,21.04572239,185.7562274,420.0000729,12.80019531,100007.6061,1.52E-02,420.0000697
 06/01  07:25:00,19.648375,0,49931.42514,159.6110805,21.06779279,185.7527429,420.0000668,12.80019907,100007.7082,1.52E-02,420.0000639
 06/01  07:30:00,19.698375,0,51530.60505,165.1615436,21.09030368,185.7614036,420.0000612,12.80020218,100007.8102,1.52E-02,420.0000586
