Time,IAT,Lux,OCC,SAP,DAT,RAD,OAT
2015-05-05 03:30:00,26.7108802795,19.1814409209,0.0,1.10653412342,26.4194126129,0.0,12.3501300812
2015-05-05 03:45:00,26.7108802795,19.1814409209,0.0,1.10653412342,26.3583621979,0.0,12.2103757859
2015-05-05 04:00:00,26.7108802795,19.1814409209,0.0,1.10653412342,26.3583621979,0.0,11.8945817947
2015-05-05 04:15:00,26.5139446259,19.1814409209,0.0,1.10653412342,26.2973136902,0.0,11.7032957077
2015-05-05 04:30:00,26.5139446259,19.1814409209,0.0,1.10653412342,26.2973136902,0.0,11.4130764008
2015-05-05 04:45:00,26.5139446259,19.1814409209,0.0,1.10653412342,26.2362632751,0.0,11.1031603813
2015-05-05 05:00:00,26.5139446259,19.1814409209,0.0,1.10653412342,26.2362632751,0.0,10.8974304199
2015-05-05 05:15:00,26.5139446259,19.1814409209,0.0,1.10653412342,26.1752128601,0.0,10.697057724
2015-05-05 05:30:00,26.3170089722,19.1814409209,0.0,1.10653412342,26.1752128601,0.0,10.454202652
2015-05-05 05:45:00,26.3170089722,19.1814409209,0.0,1.10653412342,26.1316699982,0.0,10.4056458474
2015-05-05 06:00:00,26.3170089722,19.1814409209,0.0,2.08059763908,26.1141624451,0.0,10.8225421906
2015-05-05 06:15:00,26.3170089722,21.2835164976,0.0,2.5856320858,22.9097671509,0.0,11.8045253753
2015-05-05 06:30:00,26.1200733185,27.5897445107,0.0,1.10653412342,18.638584137,0.0,11.2793617249
2015-05-05 06:45:00,25.9231357574,33.895971241,0.0,1.38094723225,19.0323562622,0.0,11.3504629135
2015-05-05 07:00:00,26.1200733185,40.2021979713,0.0,1.10653412342,20.2313785553,0.0,11.4670848846
2015-05-05 07:15:00,25.9231357574,46.5084247017,0.0,1.10653412342,18.9102554321,0.0,11.5159864426
2015-05-05 07:30:00,25.9231357574,52.8146514321,0.0,1.10653412342,22.2069587708,0.0,11.6456642151
2015-05-05 07:45:00,25.9231357574,57.0188077164,0.0,1.10653412342,23.2448101044,0.0,12.0265541076
2015-05-05 08:00:00,25.9231357574,61.2229588699,0.0,1.10653412342,23.8553104401,0.0,12.2700710297
2015-05-05 08:15:00,25.9231357574,70.9450558472,0.0,1.10653412342,24.0995101929,0.0,12.6382217407
2015-05-05 08:30:00,25.9231357574,81.4554337311,0.0,1.10653412342,24.2216110229,0.0,13.2892551422
2015-05-05 08:45:00,25.9231357574,85.6595848847,0.0,1.10653412342,24.2435894012,0.0,13.8600320816
2015-05-05 09:00:00,25.9231357574,94.5934112168,0.0,1.10653412342,24.282661438,0.0,14.4722690582
2015-05-05 09:15:00,25.9231357574,100.11135704,0.0,1.10653412342,24.343711853,0.0,15.2479906082
2015-05-05 09:30:00,25.9231357574,102.738946381,0.0,1.10653412342,24.343711853,0.0,15.6593399048
2015-05-05 09:45:00,25.9231357574,105.103789101,0.0,1.10653412342,24.4658107758,0.0,15.9449138641
2015-05-05 10:00:00,25.9231357574,110.884502067,0.0,1.10653412342,24.4658107758,0.0,16.8647117615
2015-05-05 10:15:00,25.9231357574,99.060319252,1.0,1.10653412342,24.4047603607,0.0,17.3957166672
2015-05-05 10:30:00,26.1200733185,120.343842163,1.0,2.49778342247,23.9633464813,0.0,17.4908370972
2015-05-05 10:45:00,26.1200733185,123.234198647,1.0,2.7411711216,20.3284721375,0.0,17.682934761
2015-05-05 11:00:00,26.1200733185,115.088653222,1.0,2.71095275879,20.1312580109,0.0,18.6053733826
2015-05-05 11:15:00,26.1200733185,115.351410103,0.0,2.98301577568,20.2411460876,0.0,18.8368616104
2015-05-05 11:30:00,25.9231357574,115.614166984,0.0,1.10653412342,20.7417583466,0.0,19.9633712769
2015-05-05 11:45:00,26.1200733185,118.241766586,1.0,1.10653412342,21.9017086029,0.0,20.1643314362
2015-05-05 12:00:00,26.3170089722,118.76728035,1.0,2.31227278709,23.3058605194,0.0,20.4361457825
2015-05-05 12:15:00,26.3170089722,121.394879951,0.0,2.48799204826,21.6575088501,0.0,21.1882772446
2015-05-05 12:30:00,26.1200733185,121.13212307,0.0,1.10653412342,21.4133090973,0.0,21.2288608551
2015-05-05 12:45:00,26.1200733185,134.007333412,0.0,1.10653412342,22.3901100159,0.0,21.7866821289
2015-05-05 13:00:00,26.3170089722,132.693538742,0.0,1.10653412342,23.3669109344,0.0,21.7948760986
2015-05-05 13:15:00,26.3170089722,142.152878837,0.0,1.10653412342,23.8650798798,0.0,22.0054225922
2015-05-05 13:30:00,26.3170089722,150.03565712,0.0,1.10653412342,24.1772346497,0.0,22.1254234314
2015-05-05 13:45:00,26.5139446259,160.283278121,0.0,1.10653412342,24.4658107758,0.0,21.7666568756
2015-05-05 14:00:00,26.5139446259,161.597072792,0.0,1.10653412342,24.7100124359,0.0,21.8868103027
2015-05-05 14:15:00,26.5139446259,194.967514878,0.0,1.10653412342,24.8321113586,0.0,22.1429290772
2015-05-05 14:30:00,26.5139446259,224.659350357,0.0,1.10653412342,24.9542121887,0.0,21.0528202057
2015-05-05 14:45:00,26.7108802795,257.767025299,0.0,3.30998468399,25.0650596619,0.0,21.5691604615
2015-05-05 15:00:00,26.9078159332,279.313315353,0.0,2.51689314842,23.4500827789,0.0,21.9962654114
2015-05-05 15:15:00,27.1047515869,344.740435639,1.0,2.8158288002,23.4053764343,0.0,23.0164232254
2015-05-05 15:30:00,27.1047515869,389.935029755,1.0,2.62617015839,23.4792404175,0.0,24.4477653503
2015-05-05 15:45:00,27.3016872406,592.785353699,1.0,4.2539100647,23.4890098572,0.0,24.4142789841
