Date/Time,C38130:Zone Outdoor Air Drybulb Temperature [C](TimeStep),OCCU,C38130:Zone Windows Total Transmitted Solar Radiation Energy [J](TimeStep),C38130:Daylighting Reference Point 1 Illuminance [lux](TimeStep),C38130:Zone Mean Air Temperature [C](TimeStep),C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Temperature [C](TimeStep),VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 07/29  22:25:00,18.248375,0,0,0,21.46087309,250.6466515,420.0459424,12.8002484,99957.94567,1.57E-02,420.0459019
 07/29  22:30:00,18.198375,0,0,0,21.43943712,251.0128498,420.0405052,12.80025151,99957.54863,1.57E-02,420.0404701
 07/29  22:35:00,18.148375,0,0,0,21.41799926,251.3746488,420.0357109,12.80025405,99957.15159,1.57E-02,420.0356805
 07/29  22:40:00,18.098375,0,0,0,21.39653144,251.7391193,420.0314835,12.80025611,99956.75454,1.57E-02,420.0314573
 07/29  22:45:00,18.048375,0,0,0,21.3750381,252.1065584,420.0277562,12.8002578,99956.3575,1.57E-02,420.0277335
 07/29  22:50:00,17.998375,0,0,0,21.35353106,252.4749353,420.0244698,12.8002592,99955.96046,1.57E-02,420.0244501
 07/29  22:55:00,17.948375,0,0,0,21.33201661,252.8428334,420.0215722,12.80026036,99955.56342,1.57E-02,420.0215551
 07/29  23:00:00,17.898375,0,0,0,21.31049529,253.2099836,420.0190174,12.8002613,99955.16637,1.57E-02,420.0190026
 07/29  23:05:00,17.898375,0,0,0,21.29170586,253.4078066,420.0167651,12.80025461,99954.86859,1.57E-02,420.0167522
 07/29  23:10:00,17.898375,0,0,0,21.27580851,253.1120592,420.0147798,12.80025145,99954.57081,1.57E-02,420.0147682
 07/29  23:15:00,17.898375,0,0,0,21.26150068,252.53134,420.0130297,12.80024576,99954.27303,1.57E-02,420.0130193
 07/29  23:20:00,17.898375,0,0,0,21.24769553,251.8844424,420.011487,12.80023941,99953.97525,1.57E-02,420.0114777
 07/29  23:25:00,17.898375,0,0,0,21.2339966,251.2668399,420.010127,12.80023359,99953.67747,1.57E-02,420.0101187
 07/29  23:30:00,17.898375,0,0,0,21.22041956,250.6838249,420.0089281,12.80022874,99953.37968,1.57E-02,420.0089207
